File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF755BXO	bam	bam		alignments	mm10	ENCSR170SVO	polyA plus RNA-seq	/mouse-donors/ENCDO072AAA/	UBERON:0002108	small intestine	tissue	Mus musculus											polyadenylated mRNA		RNeasy Lipid Tissue Mini Kit (QIAGEN cat#74804)			reverse	2014-12-08	ENCODE		chemical (Illumina TruSeq)	350-450	1	1_1		101					/files/ENCFF269CEX/, /files/ENCFF996KVO/, /files/ENCFF795ZFF/	7393385052	ENCODE Processing Pipeline	986aeda9929853dc7e40a40b6dfe6111		https://www.encodeproject.org/files/ENCFF755BXO/@@download/ENCFF755BXO.bam	M21			released	s3://encode-public/2021/04/17/b03f6387-7702-4fee-b48f-5f3434e6b064/ENCFF755BXO.bam	ENCODE4 v1.2.3 mm10 M21	released	low replicate concordance
ENCFF115IFA	bam	bam		alignments	mm10	ENCSR870AQU	polyA plus RNA-seq	/mouse-donors/ENCDO072AAA/	UBERON:0002048	lung	tissue	Mus musculus											polyadenylated mRNA		RNeasy Lipid Tissue Mini Kit (QIAGEN cat#74804)			reverse	2014-12-08	ENCODE		chemical (Illumina TruSeq)	350-450	1	1_1		101					/files/ENCFF795ZFF/, /files/ENCFF276XMW/, /files/ENCFF361ASL/	3706173541	ENCODE Processing Pipeline	b8f375f0cc476b37f1cc05933c6de36d		https://www.encodeproject.org/files/ENCFF115IFA/@@download/ENCFF115IFA.bam	M21			released	s3://encode-public/2021/04/08/ea3af91f-b298-4b41-8f81-9e28a522a58e/ENCFF115IFA.bam	ENCODE4 v1.2.3 mm10 M21	released	low read depth, low replicate concordance	insufficient read depth
ENCFF451RFN	bam	bam		alignments	mm10	ENCSR266ESZ	polyA plus RNA-seq	/mouse-donors/ENCDO072AAA/	UBERON:0000473	testis	tissue	Mus musculus											polyadenylated mRNA		RNeasy Lipid Tissue Mini Kit (QIAGEN cat#74804)			reverse	2014-12-08	ENCODE		chemical (Illumina TruSeq)	350-450	1	1_1		101					/files/ENCFF795ZFF/, /files/ENCFF517RDO/, /files/ENCFF786ZKB/	9749622094	ENCODE Processing Pipeline	ad111d8d00261d05fd7d20b313ae43a5		https://www.encodeproject.org/files/ENCFF451RFN/@@download/ENCFF451RFN.bam	M21			released	s3://encode-public/2021/04/07/6a88d9e7-25bb-4a26-9bf1-6ef4474e23d3/ENCFF451RFN.bam	ENCODE4 v1.2.3 mm10 M21	released	low read depth, low replicate concordance
ENCFF234ZIX	bam	bam		alignments	mm10	ENCSR518GDK	polyA plus RNA-seq	/mouse-donors/ENCDO072AAA/	UBERON:0001159	sigmoid colon	tissue	Mus musculus											polyadenylated mRNA		RNeasy Lipid Tissue Mini Kit (QIAGEN cat#74804)			reverse	2014-12-08	ENCODE		chemical (Illumina TruSeq)	350-450	1	1_2		101					/files/ENCFF631QWX/, /files/ENCFF795ZFF/, /files/ENCFF016KHB/	5347976360	ENCODE Processing Pipeline	6c2c379f4b06e082277fa97cfe7cbf35		https://www.encodeproject.org/files/ENCFF234ZIX/@@download/ENCFF234ZIX.bam	M21			released	s3://encode-public/2021/06/01/b104a1ab-209d-4cd4-b7cd-10f7c7dfa17b/ENCFF234ZIX.bam	ENCODE4 v1.2.3 mm10 M21	released	low read depth, low replicate concordance
ENCFF828SAE	bam	bam		alignments	mm10	ENCSR288TLO	polyA plus RNA-seq	/mouse-donors/ENCDO072AAA/	UBERON:0001013	adipose tissue	tissue	Mus musculus											polyadenylated mRNA		RNeasy Lipid Tissue Mini Kit (QIAGEN cat#74804)			reverse	2014-12-08	ENCODE		chemical (Illumina TruSeq)	350-450	1	1_2		101					/files/ENCFF795ZFF/, /files/ENCFF510DLJ/, /files/ENCFF128KGA/	4906666940	ENCODE Processing Pipeline	32433885a109f22213acd97ae078cfe3		https://www.encodeproject.org/files/ENCFF828SAE/@@download/ENCFF828SAE.bam	M21			released	s3://encode-public/2021/04/07/b707e2f2-a49a-4960-8b30-de865ddc7666/ENCFF828SAE.bam	ENCODE4 v1.2.3 mm10 M21	released	low read depth, low replicate concordance
ENCFF410RXW	bam	bam		alignments	mm10	ENCSR216KLZ	polyA plus RNA-seq	/mouse-donors/ENCDO072AAA/	UBERON:0002107	liver	tissue	Mus musculus											polyadenylated mRNA		RNeasy Lipid Tissue Mini Kit (QIAGEN cat#74804)			reverse	2014-12-08	ENCODE		chemical (Illumina TruSeq)	350-450	1	1_1		101					/files/ENCFF161LEK/, /files/ENCFF795ZFF/, /files/ENCFF516HOO/	6205125765	ENCODE Processing Pipeline	da7e179d92bb76c4c31abb3ce9991210		https://www.encodeproject.org/files/ENCFF410RXW/@@download/ENCFF410RXW.bam	M21			released	s3://encode-public/2021/04/05/efa930c6-7280-4924-9e59-430ad88b817b/ENCFF410RXW.bam	ENCODE4 v1.2.3 mm10 M21	released	low read depth, low replicate concordance
ENCFF329CCU	bam	bam		alignments	mm10	ENCSR248XKS	polyA plus RNA-seq	/mouse-donors/ENCDO072AAA/	UBERON:0001264	pancreas	tissue	Mus musculus											polyadenylated mRNA		RNeasy Lipid Tissue Mini Kit (QIAGEN cat#74804)			reverse	2015-01-08	ENCODE		chemical (Illumina TruSeq)	350-450	1	1_2		101					/files/ENCFF224IMT/, /files/ENCFF849WWH/, /files/ENCFF795ZFF/	5361813811	ENCODE Processing Pipeline	dc4c901ebf3e880b11051fb32f7f45d5		https://www.encodeproject.org/files/ENCFF329CCU/@@download/ENCFF329CCU.bam	M21			released	s3://encode-public/2021/04/05/c864827c-6aea-46e5-b5a7-277a2cd795fb/ENCFF329CCU.bam	ENCODE4 v1.2.3 mm10 M21	released	low read depth, low replicate concordance	insufficient read depth
ENCFF198PFU	bam	bam		alignments	mm10	ENCSR966JPL	polyA plus RNA-seq	/mouse-donors/ENCDO072AAA/	UBERON:0002106	spleen	tissue	Mus musculus											polyadenylated mRNA		RNeasy Lipid Tissue Mini Kit (QIAGEN cat#74804)			reverse	2015-01-08	ENCODE		chemical (Illumina TruSeq)	350-450	1	1_1		101					/files/ENCFF511PCY/, /files/ENCFF848QCK/, /files/ENCFF795ZFF/	7346059427	ENCODE Processing Pipeline	37be6e8668f26a26dbbed1e994abd714		https://www.encodeproject.org/files/ENCFF198PFU/@@download/ENCFF198PFU.bam	M21			released	s3://encode-public/2021/04/08/2a18f975-1307-4978-9bc4-27a9357d729e/ENCFF198PFU.bam	ENCODE4 v1.2.3 mm10 M21	released	low replicate concordance	insufficient read depth
ENCFF275BPC	bam	bam		alignments	mm10	ENCSR554PHF	polyA plus RNA-seq	/mouse-donors/ENCDO072AAA/	UBERON:0000955	brain	tissue	Mus musculus											polyadenylated mRNA		RNeasy Lipid Tissue Mini Kit (QIAGEN cat#74804)			reverse	2015-01-08	ENCODE		chemical (Illumina TruSeq)	350-450	1	1_2		101					/files/ENCFF795ZFF/, /files/ENCFF958CHE/, /files/ENCFF445AWP/	4710219241	ENCODE Processing Pipeline	6369ab60e4965f089acf7dfc1a0632b3		https://www.encodeproject.org/files/ENCFF275BPC/@@download/ENCFF275BPC.bam	M21			released	s3://encode-public/2021/04/17/8fb7add7-d00b-43c4-ad88-caa22bb640f7/ENCFF275BPC.bam	ENCODE4 v1.2.3 mm10 M21	released	low read depth, low replicate concordance
ENCFF125EKF	bam	bam		alignments	mm10	ENCSR394YLM	polyA plus RNA-seq	/mouse-donors/ENCDO072AAA/	UBERON:0002113	kidney	tissue	Mus musculus											polyadenylated mRNA		RNeasy Lipid Tissue Mini Kit (QIAGEN cat#74804)			reverse	2014-12-08	ENCODE		chemical (Illumina TruSeq)	350-450	1	1_1		101					/files/ENCFF345AQQ/, /files/ENCFF445EZT/, /files/ENCFF795ZFF/	7168167543	ENCODE Processing Pipeline	ecf911445859e602ca255ec5aef35e93		https://www.encodeproject.org/files/ENCFF125EKF/@@download/ENCFF125EKF.bam	M21			released	s3://encode-public/2021/04/07/84d98383-76c1-4910-a2a9-60d4840aec78/ENCFF125EKF.bam	ENCODE4 v1.2.3 mm10 M21	released	low read depth, low replicate concordance
ENCFF059JNC	bam	bam		alignments	mm10	ENCSR164BAZ	polyA plus RNA-seq	/mouse-donors/ENCDO072AAA/	UBERON:0000948	heart	tissue	Mus musculus											polyadenylated mRNA		RNeasy Lipid Tissue Mini Kit (QIAGEN cat#74804)			reverse	2014-12-08	ENCODE		chemical (Illumina TruSeq)	350-450	1	1_1		101					/files/ENCFF795ZFF/, /files/ENCFF871XHK/, /files/ENCFF952JKH/	5877802145	ENCODE Processing Pipeline	432c2fe82afe39f6240b30edbfc6f0c4		https://www.encodeproject.org/files/ENCFF059JNC/@@download/ENCFF059JNC.bam	M21			released	s3://encode-public/2021/04/17/50a5c2b1-1380-4b36-bed0-fa066e44482a/ENCFF059JNC.bam	ENCODE4 v1.2.3 mm10 M21	released	low read depth, low replicate concordance
